分类：内科学       标题：内科学双语教学探究附视频         作者：郭艳尹雪艳张元元李永平何敏华孙曙光         单位/学校：大理学院临床医学院         简介：目的:探讨在高校临床医学院开展内科学双语课教学的必要性、方法、措施等。方法:采用在临床本科班进行内科学双语教学的模式进行内科学的教学,并进行问卷调查,探讨临床本科内科学双语教学模式、方法及措施。结果:56%的学生认为开设内科学双语课教学是有必要的,只有21%认为无必要,23%无所谓。双语教学要循序渐进,逐步深入。结论:在高校临床医学院开展内科学双语课教学,是必然趋势、势在必行、是可行的。这是中国教育与国际接轨、医学教育改革和大学生素质教育的必然趋势,有利于我们现代医学生的培养。          关键词：临床本科;内科学;双语教学;教学模式;        专辑：专辑：社会科学Ⅱ辑;医药卫生科技         发布时间：在线公开时间：2014-04-15（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：内科学临床实践教学改革的回顾与思考附视频         作者：童明         单位/学校：河南省许昌卫生学校         简介：在医学教育教学活动中,临床实践教学一直都是重点。而进行临床实践教学是确保医护人员的工作能力达到理想标准的主要途径。本文就中国内科学临床实践教学中存在的问题进行分析,并对改革提出几点建议,以期对医学院校起到借鉴作用。          关键词：内科学;临床实践教学;改革;思考;        专辑：来源数据库：基础教育         发布时间：在线公开时间：2014-05-22（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：高职高专院校内科学教学方法的探讨附视频         作者：王影         单位/学校：白城医学高等专科学校         简介：本文主要是根据内科学课程的特点,探讨应用多种教学方法进行内科学教学的教学效果。证实多种教学方法进行教学可极大的激发学生学习兴趣,提高教学质量,改善教学效果。          关键词：高职高专;内科学;教学方法;探讨;        专辑：专辑：工程科技Ⅱ辑;医药卫生科技;社会科学Ⅱ辑         发布时间：在线公开时间：2014-02-26（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：高职院校临床医学内科学课程体系改革探索附视频         作者：韩云亭张蕾         单位/学校：南阳医学高等专科学校         简介：医学类高职高专院校主要是为基层的医疗卫生机构培养高素质、应用型人才,其毕业生质量的高低直接决定了基层医疗卫生机构的服务质量和水平。本文旨在通过对医学类高职院校办校定位和人才培养目标的研究,结合现有内科学课程体系实际情况,查漏补缺,对其进行有效的改革和优化,制订出新的符合当前高职教育的内科学课程体系,从而提高人才培养水平,实现职业教育和未来岗位的无缝对接。          关键词：医学教育;内科学;教学改革;        专辑：专辑：经济与管理科学;医药卫生科技;社会科学Ⅱ辑         发布时间：在线公开时间：2014-02-26（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：标准化病人在内科学临床技能培训中的应用研究附视频         作者：王岚曾小菁         单位/学校：贵阳医学院         简介：目的:通过对采用标准化病人(StandardizedPatients,简称SP)互动式教学方法与传统技能培训方法的比较,探讨一种与临床接轨的培训新模式,为实施教学方式和方法改革做出有益的尝试。方法:采用随机数字法将纳入学生分组,实验组采用标准化病人(StandardizedPatients,简称SP)互动式教学方法,对照组采用传统技能培训方法,培训结束后对两组学生操作考核成绩进行比较。结果:操作考核成绩实验组(80.33±11.62)显著高于对照组(70.64±14.19)(P<0.05)。实验组58名学生在问卷调查中表示对SP互动式教学方法主观评价良好。结论:在内科学临床技能培训中,引入SP互动式教学方法,较传统培训方法有明显优势,是一种切实可行的教学方法,值得推广应用。          关键词：标准化病人;临床技能培训;内科学;        专辑：专辑：医药卫生科技         发布时间：在线公开时间：2014-04-15（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：中医院校西医内科学临床技能培训的问题及对策附视频         作者：贺文静         单位/学校：吉林省长春中医药大学第一临床医学院         简介：在高等中医院校中,西医内科学的教学工作面临诸多困难,只有创新改革,丰富实训课形式,才能提高临床技能教学的质量,培养出技能操作规范、动手能力较强的适应临床工作需要的中西医兼备的综合人才。          关键词：中医院校;内科学;临床技能培训;对策;        专辑：专辑：医药卫生科技;社会科学Ⅱ辑         发布时间：在线公开时间：2014-01-06（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：《兽医内科学》实践教学改革附视频         作者：杨笃宝王振勇刘建柱王林秦孜娟崔言顺         单位/学校：山东农业大学动物科技学院         简介：文中紧紧围绕《兽医内科学》实践性强的特点,从强调培养学生的动手能力、创新能力、实践能力、科研能力入手,阐明加强各个实践教学环节的重要性,改革实验教学考核体系,提高学生的兽医综合素质和实验教学质量。          关键词：实践教学;实验教学考核;综合能力;教学质量;        专辑：专辑：基础科学;农业科技;社会科学Ⅱ辑         发布时间：在线公开时间：2014-03-26（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：抛砖引玉策略对内科学案例式教学的启示附视频         作者：何华         单位/学校：甘肃中医学院         简介：借用古代军事上常用的抛砖引玉策略与案例式教学作类比,得出在案例式教学过程中必须精心设计案例、巧妙实施并兼顾实施过程中的各个环节,以提高案例式教学课堂教学效果。          关键词：抛砖引玉;案例式教学;内科学;        专辑：专辑：社会科学Ⅱ辑;医药卫生科技         发布时间：在线公开时间：2013-11-13（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：视频教学法在内科学护生带教中的应用附视频         作者：黄柳萍         单位/学校：绍兴护士学校         简介：目的:提高中专护生内科学带教的质量。方法:运用标准化视频教学法和护生自己操作视频两两比较,发现问题、及时解决护生操作中存在问题。结果:视频教学法使护生带教中有据可依,护生对带教满意度提高,护生综合素质得到提升。结论:频教学法简便可行,有持续性,值得临床推广应用。          关键词：视频教学法;内科学;护生带教;        专辑：专辑：医药卫生科技;社会科学Ⅱ辑         发布时间：在线公开时间：2013-12-11（知网平台在线公开时间，不代表文献的发表时间）
分类：内科学       标题：内科学临床见习实施案例教学应重点关注的几个问题附视频         作者：杨敏周润华曾锦荣         单位/学校：桂林医学院附属医院风湿免疫科         简介：在内科学临床见习实施案例教学的实践中,准确理解把握和合理运用案例教学法,对提高内科学临床见习教学质量至关重要,提出必须重点关注几个问题,包括深入理解案例教学法的基本内涵,准确把握案例教学法的基本原则,正确认识案例教学与理论教学之间的关系,强化临床见习案例教学法的几个环节。          关键词：内科学;临床见习;案例教学;教学方法;        专辑：DOI：10.13555/j.cnki.c.m.e.2013.05.052         发布时间：在线公开时间：2013-12-27（知网平台在线公开时间，不代表文献的发表时间）
